TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_REL,CONTROLLER_1_EULER_REL,CONTROLLER_2_POS_REL,CONTROLLER_2_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB,NARRATIVE_EVENTS,SELECTABLE_ITEMS_SELECTED,NIGEL_LOOK_AT,NIGEL_LOOK_AWAY,BACKPACK_LOOK_AT,BACKPACK_LOOK_AWAY
2017-04-21-12-08-58-519000,"[-0.05390274524688721, 1.1163666248321533, -0.14666610956192017]","[79.74705505371094, -3.6867058277130127, 2.4328689575195312]","[0.27766644954681396, 0.6313692331314087, 0.17140531539916992]","[71.27069091796875, -34.85272216796875, -8.55111312866211]","[0.2621563673019409, 0.622543454170227, -0.38184332847595215]","[56.2140007019043, -21.3623046875, 10.135499954223633]","[-0.17140531539916992, 0.6313692331314087, 0.27766644954681396]","[-18.72930908203125, -34.85272216796875, -8.55111312866211]","[0.38184332847595215, 0.622543454170227, 0.2621563673019409]","[-33.7859992980957, -21.3623046875, 10.135499954223633]",,,,,,
2017-04-21-12-08-58-776000,"[-0.055228233337402344, 1.1167514324188232, -0.1445544958114624]","[79.6442642211914, -3.7720375061035156, 2.7208919525146484]","[0.2771883010864258, 0.6311161518096924, 0.17149925231933594]","[71.20166015625, -34.89482498168945, -8.363292694091797]","[0.2658580541610718, 0.6165283918380737, -0.4164539575576782]","[62.29698944091797, -18.88809585571289, 9.013741493225098]","[-0.17149925231933594, 0.6311161518096924, 0.2771883010864258]","[-18.798343658447266, -34.89482498168945, -8.363292694091797]","[0.4164539575576782, 0.6165283918380737, 0.2658580541610718]","[-27.70301055908203, -18.88809585571289, 9.013741493225098]",,,,,,
2017-04-21-12-08-59-023000,"[-0.05576944351196289, 1.1173094511032104, -0.1459851861000061]","[79.297119140625, -4.131558418273926, 2.5342557430267334]","[0.27781033515930176, 0.6311744451522827, 0.17143309116363525]","[71.29353332519531, -34.824039459228516, -8.488404273986816]","[0.2617701292037964, 0.6159144639968872, -0.4119919538497925]","[60.22959899902344, -20.464622497558594, 9.8838472366333]","[-0.17143309116363525, 0.6311744451522827, 0.27781033515930176]","[-18.706466674804688, -34.824039459228516, -8.488404273986816]","[0.4119919538497925, 0.6159144639968872, 0.2617701292037964]","[-29.770401000976562, -20.464622497558594, 9.8838472366333]",,,,,,
2017-04-21-12-08-59-272000,"[-0.05568110942840576, 1.117232084274292, -0.14443230628967285]","[79.1371841430664, -4.084860324859619, 2.7067995071411133]","[0.2780243158340454, 0.6311187744140625, 0.17102205753326416]","[71.37720489501953, -34.83246612548828, -8.462902069091797]","[0.2621721029281616, 0.6145541667938232, -0.4108121395111084]","[60.20564270019531, -20.28921890258789, 10.58011245727539]","[-0.17124652862548828, 0.6312391757965088, 0.2778289318084717]","[-18.63780403137207, -34.838966369628906, -8.452452659606934]","[0.41094666719436646, 0.6146342754364014, 0.2625221014022827]","[-29.633970260620117, -20.14866828918457, 10.468500137329102]",,,,,,
2017-04-21-12-08-59-508000,"[-0.05619943141937256, 1.1173088550567627, -0.14542156457901]","[79.29717254638672, -4.2322306632995605, 2.5634851455688477]","[0.2778712511062622, 0.6311337947845459, 0.17128682136535645]","[71.3877182006836, -34.79826736450195, -8.512310981750488]","[0.2618253231048584, 0.614069938659668, -0.41095077991485596]","[60.0010986328125, -20.348989486694336, 10.70971393585205]","[-0.17128682136535645, 0.6311337947845459, 0.2778712511062622]","[-18.612279891967773, -34.79826736450195, -8.512310981750488]","[0.41095077991485596, 0.614069938659668, 0.2618253231048584]","[-29.998903274536133, -20.348989486694336, 10.70971393585205]",,male_button,,,,
2017-04-21-12-08-59-514000,"[-0.05619943141937256, 1.1173088550567627, -0.14542156457901]","[79.29717254638672, -4.2322306632995605, 2.5634851455688477]","[0.2778712511062622, 0.6311337947845459, 0.17128682136535645]","[71.3877182006836, -34.79826736450195, -8.512310981750488]","[0.2618253231048584, 0.614069938659668, -0.41095077991485596]","[60.0010986328125, -20.348989486694336, 10.70971393585205]","[-0.17128682136535645, 0.6311337947845459, 0.2778712511062622]","[-18.612279891967773, -34.79826736450195, -8.512310981750488]","[0.41095077991485596, 0.614069938659668, 0.2618253231048584]","[-29.998903274536133, -20.348989486694336, 10.70971393585205]",gender_visible_off,,,,,
2017-04-21-12-08-59-519000,"[-0.05619943141937256, 1.1173088550567627, -0.14542156457901]","[79.29717254638672, -4.2322306632995605, 2.5634851455688477]","[0.2778712511062622, 0.6311337947845459, 0.17128682136535645]","[71.3877182006836, -34.79826736450195, -8.512310981750488]","[0.2618253231048584, 0.614069938659668, -0.41095077991485596]","[60.0010986328125, -20.348989486694336, 10.70971393585205]","[-0.17128682136535645, 0.6311337947845459, 0.2778712511062622]","[-18.612279891967773, -34.79826736450195, -8.512310981750488]","[0.41095077991485596, 0.614069938659668, 0.2618253231048584]","[-29.998903274536133, -20.348989486694336, 10.70971393585205]",,,,,,
2017-04-21-12-08-59-608000,"[-0.05695390701293945, 1.117975115776062, -0.1456756591796875]","[79.33592224121094, -4.569787502288818, 2.4600002765655518]","[0.27760183811187744, 0.6308907270431519, 0.17142844200134277]","[71.41329193115234, -34.783321380615234, -8.548084259033203]","[0.26261329650878906, 0.6154868602752686, -0.4116024971008301]","[60.65091323852539, -20.527738571166992, 10.233003616333008]","[-0.17142844200134277, 0.6308907270431519, 0.27760183811187744]","[-18.58670997619629, -34.783321380615234, -8.548084259033203]","[0.4116024971008301, 0.6154868602752686, 0.26261329650878906]","[-29.349084854125977, -20.527738571166992, 10.233003616333008]",age_visible_on,,,,,
2017-04-21-12-08-59-762000,"[-0.05744826793670654, 1.1188149452209473, -0.14656847715377808]","[79.70405578613281, -5.058891773223877, 2.369600296020508]","[0.277809739112854, 0.6309177875518799, 0.17058801651000977]","[71.51930236816406, -34.794654846191406, -8.635407447814941]","[0.2632948160171509, 0.6164349317550659, -0.41237354278564453]","[60.87983322143555, -20.685428619384766, 10.209576606750488]","[-0.17058801651000977, 0.6309177875518799, 0.277809739112854]","[-18.480695724487305, -34.794654846191406, -8.635407447814941]","[0.41237354278564453, 0.6164349317550659, 0.2632948160171509]","[-29.120166778564453, -20.685428619384766, 10.209576606750488]",,,,,,
2017-04-21-12-09-00-011000,"[-0.06068003177642822, 1.1241490840911865, -0.14703840017318726]","[80.1941146850586, -8.301755905151367, 2.8351998329162598]","[0.2781636714935303, 0.6308752298355103, 0.17039310932159424]","[71.61664581298828, -34.765933990478516, -8.77049732208252]","[0.27753353118896484, 0.6447467803955078, -0.46050000190734863]","[76.86795043945312, -30.959613800048828, 11.567112922668457]","[-0.17039310932159424, 0.6308752298355103, 0.2781636714935303]","[-18.38335418701172, -34.765933990478516, -8.77049732208252]","[0.46050000190734863, 0.6447467803955078, 0.27753353118896484]","[-13.132048606872559, -30.959613800048828, 11.567112922668457]",,,,,,
